nume,oras,lat,long
Medicover Pipera,București,44.4786643,26.1197855
Pediatrie 2,Cluj-Napoca,46.7776962,23.5856202
Spitalul Județean De Urgență Buzău,Buzău,45.150578,26.8011952
Policlinica Spitalului Filantropia,Craiova,44.3255062,23.7893991
Spitalul Municipal Onești Sfântul Ierarh Doctor Luca,Onești,46.2545083,26.764315
Spitalul Orășenesc Hârlău,Hârlău,47.4308733,26.8983617
Spitalul Orășenesc Slănic,Slănic,45.2406792,25.9398058
Spital,Sovata,46.5937119,25.0712116
Városi kórház,Erdőszentgyörgy,46.4322669,24.8383815
Dispensar Hoceni,Hoceni,46.5381503,28.0111896
Farmacia Hoceni,Hoceni,46.5371009,28.0115457
Spitalul Municipal Caracal,Caracal,44.1164033,24.3547798
Spitalul Monza,București,44.4390375,26.1490091
Policlinica Carei,Carei,47.6810566,22.4650552
Spitalul Militar de Urgențe “Dr. Alexandru Augustin” Sibiu,Sibiu,45.7850329,24.1386968
Institutul de Boli Cardiovasculare,Timișoara,45.7691679,21.2589768
"Spitalul Clinic de Urgență ""Bagdasar-Arseni""",București,44.3853828,26.1279087
Spitalul Clinic Județean - Clinica de Pediatrie,Sibiu,45.7953103,24.1554348
Spitalul Pelican,Oradea,47.0759891,21.9162861
Joyvet - Cabinet Veterinar,București,44.4204077,26.1179104
Spitalul de Psihiatrie Tulgheș,Tulgheș,46.9593912,25.7596598
Spitalul Municipal Profesor Doctor Irinel Popescu,Băilești,44.0297696,23.3496547
Spitalul de Psihiatrie Poiana Mare,Poiana Mare,43.9338955,23.0701965
Cabinete medicale.,Ștei,46.5409143,22.4559309
Policlinică cu plată,Eforie Nord,44.0668783,28.6329652
Maternitatea de Psihologie,Sibiu,45.8071281,24.1564076
Dispensarul Comunal,Movilița,45.9566745,27.1036131
Secția externă Săveni,Săveni,47.9587124,26.8604718
Cabinete medicale de familie,Galați,45.4292315,28.0496772
"Spitalul Orasenesc “Dr. Caius Tiberiu Sparchez""",Zărnești,45.5705234,25.3366622
"Spitalul de Pneumoftiziologie Galați, TBC",Galați,45.4557564,28.0452483
Secția Pneumologie TBC a SJU Constanța,Agigea,44.092358,28.6412921
Centrul medical NATURALIA,Voluntari,44.4981209,26.1744422
Polimed,Podu Turcului,46.1999881,27.3846556
Spitalul Municipal Dr. Alexandru Simionescu Hunedoara,Hunedoara,45.7494075,22.9065971
Secția de recuperare pediatrică,Timișoara,45.7619211,21.2165467
Spitalul Județean Tudor Vladimirescu,Târgu Jiu,45.0401597,23.2745341
Centru de dializă Diaverum,Sibiu,45.7959913,24.1335538
Dispensarul Brezoi,Brezoi,45.3438699,24.2394946
Spitalul de Obstetrică și Ginecologie Ploiești,Ploiești,44.9390061,26.0391928
Spitalul de stat Caritas,Roșiorii de Vede,44.115025,24.9876379
Servicii Geriatrie și Asistență Medicală ”Sf. Sava și Teodosie cel Mare”,Pantelimon,44.4569186,26.2819187
medical center,Craiova,44.3290066,23.8014418
Spitalul Clinic de Obstetrică și Ginecologie „Elena Doamna”,Iași,47.1605464,27.5981056
